continent,location,date,population,new_vaccinations,TotalVaccinated,Vaccine_percentage
Asia,Afghanistan,2020-02-24,40099462,,,
Asia,Afghanistan,2020-02-25,40099462,,,
Asia,Afghanistan,2020-02-26,40099462,,,
Asia,Afghanistan,2020-02-27,40099462,,,
Asia,Afghanistan,2020-02-28,40099462,,,
Asia,Afghanistan,2020-02-29,40099462,,,
Asia,Afghanistan,2020-03-01,40099462,,,
Asia,Afghanistan,2020-03-02,40099462,,,
Asia,Afghanistan,2020-03-03,40099462,,,
Asia,Afghanistan,2020-03-04,40099462,,,
Asia,Afghanistan,2020-03-05,40099462,,,
Asia,Afghanistan,2020-03-06,40099462,,,
Asia,Afghanistan,2020-03-07,40099462,,,
Asia,Afghanistan,2020-03-08,40099462,,,
Asia,Afghanistan,2020-03-09,40099462,,,
Asia,Afghanistan,2020-03-10,40099462,,,
Asia,Afghanistan,2020-03-11,40099462,,,
Asia,Afghanistan,2020-03-12,40099462,,,
Asia,Afghanistan,2020-03-13,40099462,,,
Asia,Afghanistan,2020-03-14,40099462,,,
Asia,Afghanistan,2020-03-15,40099462,,,
Asia,Afghanistan,2020-03-16,40099462,,,
Asia,Afghanistan,2020-03-17,40099462,,,
Asia,Afghanistan,2020-03-18,40099462,,,
Asia,Afghanistan,2020-03-19,40099462,,,
Asia,Afghanistan,2020-03-20,40099462,,,
Asia,Afghanistan,2020-03-21,40099462,,,
Asia,Afghanistan,2020-03-22,40099462,,,
Asia,Afghanistan,2020-03-23,40099462,,,
Asia,Afghanistan,2020-03-24,40099462,,,
Asia,Afghanistan,2020-03-25,40099462,,,
Asia,Afghanistan,2020-03-26,40099462,,,
Asia,Afghanistan,2020-03-27,40099462,,,
Asia,Afghanistan,2020-03-28,40099462,,,
Asia,Afghanistan,2020-03-29,40099462,,,
Asia,Afghanistan,2020-03-30,40099462,,,
Asia,Afghanistan,2020-03-31,40099462,,,
Asia,Afghanistan,2020-04-01,40099462,,,
Asia,Afghanistan,2020-04-02,40099462,,,
Asia,Afghanistan,2020-04-03,40099462,,,
Asia,Afghanistan,2020-04-04,40099462,,,
Asia,Afghanistan,2020-04-05,40099462,,,
Asia,Afghanistan,2020-04-06,40099462,,,
Asia,Afghanistan,2020-04-07,40099462,,,
Asia,Afghanistan,2020-04-08,40099462,,,
Asia,Afghanistan,2020-04-09,40099462,,,
Asia,Afghanistan,2020-04-10,40099462,,,
Asia,Afghanistan,2020-04-11,40099462,,,
Asia,Afghanistan,2020-04-12,40099462,,,
Asia,Afghanistan,2020-04-13,40099462,,,
Asia,Afghanistan,2020-04-14,40099462,,,
Asia,Afghanistan,2020-04-15,40099462,,,
Asia,Afghanistan,2020-04-16,40099462,,,
Asia,Afghanistan,2020-04-17,40099462,,,
Asia,Afghanistan,2020-04-18,40099462,,,
Asia,Afghanistan,2020-04-19,40099462,,,
Asia,Afghanistan,2020-04-20,40099462,,,
Asia,Afghanistan,2020-04-21,40099462,,,
Asia,Afghanistan,2020-04-22,40099462,,,
Asia,Afghanistan,2020-04-23,40099462,,,
Asia,Afghanistan,2020-04-24,40099462,,,
Asia,Afghanistan,2020-04-25,40099462,,,
Asia,Afghanistan,2020-04-26,40099462,,,
Asia,Afghanistan,2020-04-27,40099462,,,
Asia,Afghanistan,2020-04-28,40099462,,,
Asia,Afghanistan,2020-04-29,40099462,,,
Asia,Afghanistan,2020-04-30,40099462,,,
Asia,Afghanistan,2020-05-01,40099462,,,
Asia,Afghanistan,2020-05-02,40099462,,,
Asia,Afghanistan,2020-05-03,40099462,,,
Asia,Afghanistan,2020-05-04,40099462,,,
Asia,Afghanistan,2020-05-05,40099462,,,
Asia,Afghanistan,2020-05-06,40099462,,,
Asia,Afghanistan,2020-05-07,40099462,,,
Asia,Afghanistan,2020-05-08,40099462,,,
Asia,Afghanistan,2020-05-09,40099462,,,
Asia,Afghanistan,2020-05-10,40099462,,,
